,baseMean,log2FoldChange,absoluteLogFC,lfcSE,stat,pvalue,padj
FKBP5,1011.57121,0.439306879,0.439306879,0.220832357,1.989322961,0.046665567,0.109390135
AICDA,8.116407168,-0.406862964,0.406862964,0.205617525,3.866613864,0.049255801,0.109984842
BST1,910.9250004,0.487471973,0.487471973,0.245818876,1.983053461,0.047361458,0.110129656
BID,26.15012042,-0.280005354,0.280005354,0.143093947,3.850368188,0.049735072,0.1106108
CD27,363.8170439,0.470785602,0.470785602,0.238689968,1.972372802,0.048567064,0.111668967
ATG16L1,129.4562339,0.157516097,0.157516097,0.081409625,3.76246034,0.052415399,0.114943728
IKBKB,129.4562339,0.157516097,0.157516097,0.081409625,3.76246034,0.052415399,0.114943728
PSMC2,284.506954,0.354146631,0.354146631,0.181029933,1.956287696,0.050431273,0.114959476
CEACAM6,77.59653076,1.165953915,1.165953915,0.59657975,1.954397405,0.050654237,0.115014915
BATF,91.9957738,0.350685274,0.350685274,0.179909149,1.949235352,0.051267325,0.11595227
MCL1,4683.882484,0.22804446,0.22804446,0.117628277,3.682947602,0.054971587,0.118289264
SELE,10.09479673,-0.376698073,0.376698073,0.19561008,3.678985343,0.055102373,0.118289264
ARG2,11.0908038,0.435627566,0.435627566,0.228501958,3.660977806,0.055700935,0.118657929
MR1,83.03187445,0.304537302,0.304537302,0.157639068,3.664084548,0.055597178,0.118657929
NFATC2,610.8789544,0.304585831,0.304585831,0.157769573,1.930573969,0.05353576,0.118763237
LCK,657.0631615,-0.319124723,0.319124723,0.169731085,3.62539895,0.056903927,0.120298797
HLA-DPA1,1937.523844,-0.367097403,0.367097403,0.196542098,3.592804639,0.058030228,0.122215178
CD209,9.473016389,-0.377774496,0.377774496,0.199352481,3.557981454,0.05925976,0.124333685
KIT,10.14775029,-0.39204164,0.39204164,0.21083937,3.462345146,0.062781214,0.131226898
TNFRSF4,14.58950193,-0.378279703,0.378279703,0.20387092,3.455648273,0.063036011,0.131266001
CD8A,418.0167122,-0.411878441,0.411878441,0.226301956,3.420012427,0.064410528,0.133627813
IL1RN,174.1906976,0.576305145,0.576305145,0.311424816,1.850543423,0.064235266,0.138261036
RELB,93.18477032,-0.302043381,0.302043381,0.168195395,3.295674865,0.069462558,0.143041416
VCAM1,10.21276472,-0.348572817,0.348572817,0.191370533,3.289543703,0.069722396,0.143046687
BATF3,30.06238462,-0.375408931,0.375408931,0.213088409,3.171565377,0.074930598,0.152605906
MASP2,9.559573415,-0.348147458,0.348147458,0.195011496,3.159236076,0.075498505,0.153201346
CD2,223.0372585,0.314505696,0.314505696,0.174847393,3.152013281,0.075833345,0.153321237
CXCR4,2089.067671,0.182666707,0.182666707,0.102240979,3.141696848,0.076314374,0.153734754
FCGR3A/B,22585.69806,0.430038302,0.430038302,0.239893103,1.792624702,0.073032954,0.15432876
IRF4,267.3540987,0.332613876,0.332613876,0.186344125,1.78494426,0.074270358,0.155243818
CD96,503.9952662,0.215881323,0.215881323,0.12197295,3.077028693,0.079405469,0.158241723
